Coal-Producing State and County,Underground Number of Mines,Underground Production,Surface Number of Mines,Surface Production,Total Number of Mines,Total Production
Washington,1,"5,691",1,15,2,"5,706"
Westmoreland,1,363,2,45,3,408
Tennessee,1,83,1,9,2,92
Claiborne,1,83,1,9,2,92
Texas,-,-,7,"19,682",7,"19,682"
Atascosa,-,-,1,"2,648",1,"2,648"
Harrison,-,-,2,"1,710",2,"1,710"
Limestone,-,-,1,"10,105",1,"10,105"
Maverick,-,-,1,294,1,294
Robertson,-,-,1,"1,972",1,"1,972"
Rusk,-,-,1,"2,954",1,"2,954"
Utah,6,"12,594",1,569,7,"13,163"
Carbon,2,"6,989",-,-,2,"6,989"
Emery,3,"1,146",-,-,3,"1,146"
Kane,-,-,1,569,1,569
Sevier,1,"4,459",-,-,1,"4,459"
Virginia,17,"7,185",24,"2,501",41,"9,685"
Buchanan,8,"4,287",9,899,17,"5,186"
Dickenson,4,"2,617",3,925,7,"3,542"
Russell,-,-,2,34,2,34
Tazewell,-,-,2,79,2,79
Wise,5,281,8,563,13,843
West Virginia,67,"55,699",68,"11,529",135,"67,228"
Barbour,1,756,-,-,1,756
Boone,5,"2,154",8,598,13,"2,752"
Fayette,3,435,3,831,6,"1,266"
Grant,-,-,1,18,1,18
Greenbrier,1,40,3,227,4,267
Kanawha,4,"3,002",3,525,7,"3,527"
Logan,12,"4,741",8,"2,018",20,"6,758"
Marion,1,"3,875",1,170,2,"4,045"
Marshall,2,"13,853",-,-,2,"13,853"
Mcdowell,12,"1,262",13,"1,315",25,"2,578"
Mercer,1,18,1,341,2,359
Mineral,-,-,1,1,1,1
Mingo,2,682,6,"1,109",8,"1,791"
Nicholas,1,827,4,162,5,989
Ohio,1,"6,757",-,-,1,"6,757"
Raleigh,8,"3,466",5,"2,542",13,"6,009"
Randolph,2,662,2,35,4,697
Taylor,1,"4,185",-,-,1,"4,185"
Tucker,1,"1,834",-,-,1,"1,834"
Webster,-,-,3,143,3,143
Wetzel,1,"4,880",-,-,1,"4,880"
Wyoming,8,"2,269",6,"1,495",14,"3,765"
Wyoming,1,"2,424",15,"216,131",16,"218,556"
Campbell,-,-,11,"190,176",11,"190,176"
Converse,-,-,1,"19,810",1,"19,810"
Lincoln,-,-,1,"2,475",1,"2,475"
Sweetwater,1,"2,424",2,"3,671",3,"6,095"
U.S. Subtotal,196,"195,530",350,"339,448",546,"534,978"
Refuse Recovery,-,-,-,-,6,456
U.S. Total,196,"195,530",350,"339,448",552,"535,434"
